hhid,TFPRfe,TFPQfe
1.401001e6,,
1.401002e6,,
1.401003e6,,
1.401004e6,,
1.401005e6,,
1.401006e6,,
1.401007e6,,
1.401008e6,,
1.40101e6,,
1.401011e6,,
1.401012e6,,
1.401013e6,,
1.401014e6,,
1.401015e6,,
1.401016e6,,
1.401017e6,,
1.401018e6,,
1.401019e6,,
1.40102e6,,
1.401023e6,,
1.401024e6,,
1.401025e6,,
1.401026e6,,
1.401028e6,,
1.40103e6,,
1.401031e6,,
1.401033e6,,
1.401034e6,,
1.401035e6,,
1.401037e6,,
1.401038e6,,
1.401039e6,,
1.40104e6,,
1.401041e6,,
1.401043e6,,
1.401044e6,,
1.401045e6,,
1.401046e6,,
1.401048e6,,
1.401051e6,,
1.401052e6,,
1.401053e6,,
1.401055e6,,
1.401057e6,,
1.401059e6,,
1.40106e6,,
1.401061e6,,
1.401062e6,,
1.401065e6,,
1.401066e6,,
1.401067e6,,
1.401068e6,,
1.401071e6,,
1.401072e6,,
1.401073e6,,
1.401074e6,,
1.401075e6,,
1.401076e6,,
1.401077e6,,
1.401078e6,,
1.401079e6,,
1.40108e6,,
1.401081e6,,
1.401082e6,,
1.401083e6,,
1.401084e6,,
1.401085e6,,
1.401087e6,,
1.401088e6,,
1.401089e6,,
1.401091e6,,
1.401092e6,,
1.401093e6,,
1.401095e6,,
1.401096e6,,
1.401097e6,,
1.401098e6,,
1.401101e6,,
1.401102e6,,
1.401103e6,,
1.401104e6,,
1.401105e6,,
1.401107e6,,
1.401108e6,,
1.401109e6,,
1.40111e6,,
1.401111e6,,
1.401112e6,,
1.401113e6,,
1.401114e6,,
1.401115e6,,
1.401116e6,,
1.401117e6,,
1.401118e6,,
1.401119e6,,
1.40112e6,,
1.401121e6,,
1.401122e6,,
1.401123e6,,
1.401124e6,,
1.401125e6,,
1.401126e6,,
1.401127e6,,
1.402002e6,0.16542362,0.18145373
1.402004e6,0.14258084,0.15636332
1.402005e6,0.11476206,0.13818802
1.402006e6,0.39740175,0.34415025
1.402007e6,0.13295871,0.1675446
1.402008e6,,
1.402009e6,0.17146905,0.17224187
1.40201e6,0.19999427,0.22642821
1.402014e6,0.15639485,0.16006751
1.402017e6,0.28794715,0.232559
1.402018e6,0.16554283,0.16951635
1.402023e6,0.3047752,0.25219494
1.402025e6,0.1978636,0.19864969
1.402026e6,0.34786785,0.28040045
1.402027e6,0.1362503,0.14096846
1.402032e6,0.1356311,0.17545599
1.402033e6,0.36466864,0.27818978
1.402034e6,,
1.402035e6,,
1.402036e6,0.19720602,0.21135768
1.402037e6,0.20377076,0.2159384
1.402041e6,0.11332294,0.12779172
1.402042e6,0.18013129,0.18965414
1.402047e6,0.14697284,0.15445282
1.40205e6,0.1287454,0.1523178
1.402053e6,0.1380825,0.22000907
1.402054e6,,
1.402055e6,0.15910524,0.16571201
1.402062e6,0.21763243,0.21827678
1.402063e6,0.22583744,0.20754465
1.402065e6,0.14593382,0.14735231
1.402066e6,0.16879338,0.20236173
1.402075e6,0.13445026,0.15009023
1.402076e6,0.14407997,0.16030246
1.402078e6,0.24240954,0.25106227
1.402079e6,0.20900275,0.19999689
1.402082e6,0.12573637,0.15474355
1.402083e6,0.1403168,0.22380723
1.402085e6,0.23691456,0.1966915
1.402086e6,0.11590322,0.14174303
1.402088e6,0.33216155,0.29023755
1.402089e6,0.24342789,0.2492355
1.40209e6,0.11561528,0.1497823
1.402091e6,0.24802914,0.19834895
1.402092e6,0.31613865,0.2760148
1.402094e6,0.17838964,0.16840498
1.402096e6,0.13112733,0.16060492
1.403001e6,,
1.403002e6,0.58260745,0.7998585
1.403003e6,1.7324257,1.4198823
1.403004e6,0.9952085,1.1604595
1.403005e6,0.90840757,0.6807709
1.403006e6,1.2820907,1.0956866
1.403007e6,0.92091465,1.2219353
1.403008e6,0.8129396,0.7158511
1.403009e6,0.25042558,0.42126924
1.40301e6,0.6784219,1.0704204
1.403011e6,2.4753213,2.6883101
1.403012e6,0.89964175,1.338678
1.403013e6,2.2240481,2.4844816
1.403014e6,1.5490353,1.4117788
1.403015e6,0.57117414,0.8338117
1.403016e6,1.9847852,1.6039513
1.403017e6,1.0983076,1.2101307
1.403018e6,3.0694282,2.2788305
1.403019e6,3.6735506,2.718612
1.40302e6,1.6329932,1.388969
1.403021e6,0.3990731,0.6714193
1.403022e6,1.4652078,1.347511
1.403023e6,1.8304416,1.6385313
1.403024e6,1.7721941,1.5220444
1.403025e6,0.4516158,0.7996689
1.403026e6,1.6552336,1.6686364
1.403027e6,0.71262306,1.0714319
1.403028e6,1.1596212,1.0412642
1.403029e6,1.6793846,1.6059816
1.40303e6,0.6176728,0.93013585
1.403031e6,0.67422134,0.7274432
1.403032e6,1.3849285,0.94830155
1.403033e6,0.6583784,1.0172437
1.403034e6,0.78085876,1.0340688
1.403035e6,1.5550629,1.4843837
1.403036e6,0.67565274,0.92226493
1.403037e6,0.6974089,0.818018
1.403038e6,1.3486851,1.0422542
1.403039e6,1.0616395,1.162599
1.40304e6,1.3635195,1.768696
1.403041e6,0.54983795,0.77174383
1.403042e6,0.72872335,1.2713538
1.403043e6,2.0061295,2.020704
1.403044e6,1.5802053,2.0456011
1.403045e6,1.5150858,1.1891325
1.403046e6,,
1.403047e6,0.8438018,1.0422925
1.403048e6,1.1869507,1.3386005
1.403049e6,0.3768276,0.963911
1.40305e6,1.0535966,1.6556429
1.403051e6,1.0440587,1.265045
